Year,Week,Member State,Feed Price (€/Tonne),Category,Cattle Price
2021,8,France,217.01,Young bulls,406.0
2021,8,France,217.01,Steers,292.0
2021,8,Ireland,212.0,Young cattle,336.33
2021,8,Ireland,212.0,Young cattle,347.11
2021,8,Ireland,212.0,Cows,318.49
2021,8,Ireland,212.0,Young bulls,340.81
2021,8,Ireland,212.0,Young cattle,361.61
2021,8,Ireland,212.0,Young cattle,367.42
2021,8,Ireland,212.0,Young cattle,381.46
2021,8,Ireland,212.0,Young cattle,382.9
2021,8,France,217.01,Cows,284.0
2021,8,Ireland,212.0,Young bulls,337.49
2021,8,France,217.01,Cows,281.0
2021,8,Ireland,212.0,Cows,280.71
2021,8,Ireland,212.0,Cows,262.89
2021,8,France,217.01,Young bulls,330.0
2021,8,France,217.01,Young bulls,320.0
2021,8,France,217.01,Bulls,301.0
2021,8,Ireland,212.0,Bulls,292.44
2021,8,France,217.01,Cows,398.0
2021,8,France,217.01,Cows,373.0
2021,8,France,217.01,Cows,325.0
2021,8,Ireland,212.0,Young bulls,357.27
2021,8,Ireland,212.0,Young bulls,356.15
2021,9,Ireland,215.0,Cows,318.69
2021,9,France,221.51,Calves slaughtered <8M,590.0
2021,9,France,221.51,Bulls,307.0
2021,9,France,221.51,Cows,402.0
2021,9,France,221.51,Cows,373.0
2021,9,France,221.51,Cows,329.0
2021,9,Ireland,215.0,Cows,321.39
2021,9,Ireland,215.0,Bulls,307.06
2021,9,Ireland,215.0,Young bulls,344.46
2021,9,Ireland,215.0,Steers,388.21
2021,9,Ireland,215.0,Heifers,348.09
2021,9,France,221.51,Heifers,326.0
2021,9,France,221.51,Heifers,324.0
2021,9,France,221.51,Heifers,322.0
2021,9,France,221.51,Young bulls,323.0
2021,9,France,221.51,Young bulls,330.0
2021,9,Ireland,215.0,Young bulls,343.66
2021,9,Ireland,215.0,Young bulls,357.83
2021,9,Ireland,215.0,Young bulls,358.68
2021,9,Ireland,215.0,Young bulls,367.34
2021,9,Ireland,215.0,Young bulls,370.18
2021,9,France,221.51,Young bulls,373.0
2021,9,France,221.51,Young bulls,380.0
2021,9,Ireland,215.0,Heifers,365.9
2021,9,France,221.51,Young bulls,390.0
2021,9,France,221.51,Cows,309.0
2021,9,France,221.51,Cows,300.0
2021,9,Ireland,215.0,Cows,298.94
