Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","1992","1992","tonnes","84","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","1993","1993","tonnes","51","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","1994","1994","tonnes","69","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","1995","1995","tonnes","58","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","1996","1996","tonnes","142","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","1997","1997","tonnes","376","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","1998","1998","tonnes","108","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","1999","1999","tonnes","64","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","2000","2000","tonnes","170","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","2001","2001","tonnes","198","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","2002","2002","tonnes","203","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","2003","2003","tonnes","453","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","2004","2004","tonnes","555","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","2005","2005","tonnes","420","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","2006","2006","tonnes","366","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","2007","2007","tonnes","310","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","2008","2008","tonnes","259","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","2009","2009","tonnes","392","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","2010","2010","tonnes","157","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","2011","2011","tonnes","291","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","2012","2012","tonnes","497","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","2013","2013","tonnes","232","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","2014","2014","tonnes","34","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","2015","2015","tonnes","47","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","2016","2016","tonnes","80","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","2017","2017","tonnes","338","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","2018","2018","tonnes","260","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","2019","2019","tonnes","640","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","2020","2020","tonnes","319","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5622","Import Value","F0875","beef and veal preparations nes","1986","1986","1000 US$","54","A","Official figure"
